fluid,Z,K_is,Vr,Ns,reaction,AR,etaTT,etaTS,PratioTT,N,Z0,Z2,Z3,V0_div_U0,W0_div_U0,V2_div_U2,W2_div_U2,V3_div_U3,W3_div_U3,H0_div_Rm,H1_div_Rm,H3_div_Rm,H_div_CaxSt,H_div_CaxRt,SolidSt,SolidRt,Delta etaTT profile,Delta etaTT mixing,Delta etaTT shock,Delta etaTT endwall,Delta etaTT leakage,Gamma_ratio_0,Gamma_ratio_1,Gamma_ratio_2,Gamma_ratio_3,Gamma_0,Gamma_1,Gamma_2,Gamma_3,M abs 0,M abs 1,M abs 2,M abs 3,M rel 2,M rel 3,P stat 0,P stat 1,P stat 2,P stat 3,P tot 0,P tot 1,P tot 2,P tot 3,T stat 0,T stat 1,T stat 2,T stat 3,T tot 0,T tot 1,T tot 2,T tot 3
MM,0.62,1.7,1.3,0.75,0.5,3,0.5865444777079345,0.5599953487557465,1.1804528062940733,78.3509643802365,0.6211031619679549,0.6560122947788906,0.6862907553588494,0.329664341663528,0.0,0.7306034920207374,0.29932574615805263,0.26921692823123405,0.7650160996160533,0.17503869135461678,0.254017720593865,0.28381314059776114,3.0,3.0,0.6572870122961572,0.6129349063368555,1.989418105430285,29.432984575384225,0.0,7.281423214705695,1.8106412992460852,0.5165654672715346,0.5698134990162955,0.5698134990162955,0.6146695422981231,1.2150556571174067,1.1694938210301946,1.1694938210301946,1.139334816063019,0.0925685484063469,0.4063239557610965,0.4063239557610965,0.14719018500219963,0.17048228843846147,0.39947256451285196,1540751.7556105538,1411920.0533996713,1411920.0533996713,1298372.5984585278,1544904.0,1493876.8353750189,1493876.8353750189,1308738.4703248653,518.8111804922986,515.985369885463,516.2158052604025,513.5152035459923,518.9030382827617,518.0031986858331,518.0031986858331,514.2451194208344
MM,0.62,1.7,1.3,0.81,0.5,3,0.6732697120624233,0.6465396585918128,1.181830271706988,78.3509643802365,0.6214113037015192,0.6557950667428315,0.6859247554867249,0.3010176631759531,0.0,0.7773115032488471,0.27254412564390906,0.25526490049713096,0.7979234052275357,0.17524884588530598,0.2382121111268593,0.27044641424841814,3.0,3.0,0.7918510965444555,0.7248043880312611,1.988455569802805,23.052828881022403,0.0,5.412518795251997,1.7692849933899524,0.5170399052880023,0.5694290815300261,0.5694290815300261,0.6140486449772967,1.2145891416753534,1.1697495071849762,1.1697495071849762,1.1396733330925435,0.10468526910694523,0.43240580796370887,0.43240580796370887,0.13774391817036025,0.1592320346670518,0.41922801172258933,1539591.5809831254,1411932.8914822952,1411932.8914822952,1298372.7380091934,1544904.0,1504994.7142443736,1504994.7142443736,1307213.0888715542,518.7855251511493,515.9856461923575,516.16472882709,513.5152065805202,518.9030382827617,518.1968503052029,518.1968503052029,514.1086093028409
MM,0.62,1.7,1.3,0.98,0.5,3,0.7901865367002858,0.7557671336445161,1.1812103939335374,78.3509643802365,0.622734275996556,0.6554967989837105,0.6854115065464068,0.3008204413527134,0.0,0.8352259906183365,0.29074339847254804,0.2709135957936424,0.8635408757136921,0.17615475469350234,0.22141032103996083,0.2527257197038341,3.0,3.0,0.9672279545640219,0.8944211512205774,1.717600378818307,13.960508042590137,0.0,3.7159240719520814,1.4731312908855099,0.5190756924794162,0.5689058996434233,0.5689058996434233,0.6131770535608102,1.2126007412953492,1.1700959900635906,1.1700959900635906,1.1401499422391905,0.14561444591331135,0.4646632992295137,0.4646632992295137,0.1443157285499344,0.1725648215484956,0.456041944384509,1534608.7714873622,1411988.662845721,1411988.662845721,1298373.4112204206,1544904.0,1519958.975904536,1519958.975904536,1307899.0905721122,518.6753902701994,515.9868469353127,516.0978249092215,513.5152212194795,518.9030382827617,518.4595959042316,518.4595959042316,513.9787705287586
MM,0.62,1.7,1.7,0.52,0.5,3,0.4952468221516656,0.46750865667557795,1.4179806190962054,78.3509643802365,0.6209859828663588,0.6934025545427971,0.7466963554010497,0.37490099630818546,0.0,0.7040054024647587,0.3023011708099633,0.28966730483459985,0.7169561222703804,0.150425158266831,0.2649831825276761,0.3447747213008987,2.0935776339440437,3.0,0.5413610753686435,0.4950317586083938,3.1574704017875987,25.52768422484759,0.007004652476716444,16.026079380686898,3.7528715312767136,0.5163850230161714,0.6248798185235849,0.6248798185235849,0.6999993872524357,1.2152333997635913,1.1335124649869657,1.1335124649869657,1.096862366634236,0.0875194507546674,0.5488348515512526,0.5488348515512526,0.23023985959099527,0.23772052498969556,0.49817052502809317,1541192.9032255362,1271723.0781034625,1271723.0781034625,1067071.607291737,1544904.0,1419021.385816732,1419021.385816732,1089509.9546457082,518.8209369453585,512.9348659586269,513.5489170390367,508.4298829321912,518.9030382827617,516.7340172975207,516.7340172975207,510.3731765500115
MM,0.62,1.7,1.7,0.63,0.5,3,0.7355708949975556,0.7140337164197661,1.4327963253145592,78.3509643802365,0.6214931700733615,0.6923856381255853,0.7450071707737612,0.2491852472122448,0.0,0.8174640999267724,0.20681770284349335,0.21585898085819671,0.8064834582627399,0.150722516607549,0.22694484154125263,0.29866873352168877,2.860662556291703,3.0,0.9009629100055775,0.7925970125406221,3.2671067037443713,13.147743757632302,0.00046556438864087113,6.238263562151502,3.3500307684821817,0.5171659358068668,0.6231781385101524,0.6231781385101524,0.6973912021046405,1.214465414915442,1.134398894499506,1.134398894499506,1.0978741285665454,0.10767423813287588,0.6403972906119024,0.6403972906119024,0.1641462240601346,0.1733543700332289,0.5777184248153866,1539283.323043709,1271737.3207860817,1271737.3207860817,1067071.8097981215,1544904.0,1478206.9583372222,1478206.9583372222,1078243.9713898823,518.7787093066037,512.9351837063984,513.2493633824382,508.4298874745085,518.9030382827617,517.7328992544674,517.7328992544674,509.45494311639686
MM,0.62,1.7,1.7,0.75,0.5,3,0.828472144967728,0.8079140313462658,1.43527297473,78.3509643802365,0.6224444297903572,0.691985496630724,0.7443172259901727,0.22213312632301505,0.0,0.8572435314417248,0.2008762359925378,0.20222890218147543,0.8528449447738014,0.15128229128770992,0.21614988180593178,0.28196233150761724,3.0,3.0,1.0203296456075233,0.925140196731007,2.6609005640487737,7.913914302841752,0.0,3.9177587224690447,2.5133454269534394,0.5186298396428299,0.6225112841642678,0.6225112841642678,0.6963228363151903,1.2130343673363015,1.1347449486758063,1.1347449486758063,1.0982914085502316,0.13770058387388348,0.672629979210853,0.672629979210853,0.1503512016969105,0.1766233565760523,0.6160457317945599,1535700.6818867861,1271764.2423555623,1271764.2423555623,1067072.2090701503,1544904.0,1502244.0816518709,1502244.0816518709,1076383.3968870093,518.6995176046845,512.9357841024412,513.133911022336,508.42989643033553,518.9030382827617,518.1489708367214,518.1489708367214,509.1424967452755
MM,0.62,1.7,1.7,0.81,0.5,3,0.8536278520022402,0.8312140849293692,1.4346071633929252,78.3509643802365,0.6231246969105141,0.6918741683761234,0.7441258715698801,0.22637492500508594,0.0,0.8679222983069466,0.21216212927830122,0.20902664778358696,0.8688312198110291,0.15168426085243045,0.2134635826740173,0.2776519967487738,3.0,3.0,1.0522274212571456,0.9635896138534733,2.3851440893485565,6.448267473439639,0.0,3.475000477284562,2.2341401539181405,0.5196761085285787,0.622327596147533,0.622327596147533,0.6960262208475059,1.2120184190227434,1.1348389743066916,1.1348389743066916,1.0984075553193404,0.1556329897735191,0.6811051523896006,0.6811051523896006,0.15443709709908604,0.186560110860636,0.6287084184558687,1533137.7605133455,1271783.6577757706,1271783.6577757706,1067072.510023069,1544904.0,1508863.8091972354,1508863.8091972354,1076882.9540389418,518.6428924296973,512.9362169292388,513.1029486553946,508.42990318079336,518.9030382827617,518.2646560921391,518.2646560921391,509.0787179461232
MM,0.62,1.7,1.7,0.98,0.5,3,0.8932085610047072,0.8581439146696652,1.4282370806672395,78.3509643802365,0.6260329135599291,0.6916792235074583,0.7438157749905758,0.2728337071873517,0.0,0.8846020047234712,0.2721950613651419,0.25762951535448686,0.9054344939266336,0.1534183168324427,0.20923825320252742,0.27074946422494806,3.0,3.0,1.107449631768213,1.0309326579387572,1.8232587604140815,4.055638335561696,0.0,3.014459044575857,1.7553186258306597,0.5241432522963628,0.6220140455077113,0.6220140455077113,0.6955452992365779,1.2077438330689367,1.1349936064657424,1.1349936064657424,1.0985961501480646,0.21593975956159056,0.6947411624313371,0.6947411624313371,0.1884263442844331,0.2315548488239266,0.6573847757168949,1522172.4559232194,1271868.6042769551,1271868.6042769551,1067073.9619232882,1544904.0,1519801.9563554018,1519801.9563554018,1081685.961603977,518.4008673411877,512.9381090171589,513.0534847448703,508.429935746911,518.9030382827617,518.456864754697,518.456864754697,509.064777487568
MM,0.62,1.7,2.1,0.52,0.5,3,0.5110717931967007,0.48474692206343545,1.6650501404618852,78.3509643802365,0.6214706339480648,0.7217377896896011,0.7874840151659371,0.367834657746779,0.0,0.7096937528191438,0.2967851084682323,0.2857942737196366,0.7209590039888449,0.13318114118389268,0.26280679554552094,0.36261600890826867,1.7637229527787714,2.905316473789373,0.5710854188825776,0.5034531750650963,3.0800549318999004,24.224086355051643,0.007378504131216879,15.57796388220407,4.1797648664388065,0.5171312429175292,0.6651529394204514,0.6651529394204514,0.754474522303934,1.2144994653108507,1.1124668081176128,1.1124668081176128,1.0770071927160794,0.10685982572900317,0.6497556981008273,0.6497556981008273,0.25345785866685444,0.27414480373368033,0.5920531610033807,1539368.181170642,1162501.6195999985,1162501.6195999985,903801.851416102,1544904.0,1365848.1741066934,1365848.1741066934,927842.3288631076,518.7805855596124,510.5444146453151,511.4646306907733,504.6736430662919,518.9030382827617,515.8672211715838,515.8672211715838,507.3801223454413
MM,0.62,1.7,2.1,0.63,0.5,3,0.7436641160652425,0.7231117946166032,1.6858417505234482,78.3509643802365,0.6222259275097535,0.7204487400555879,0.7855248853733856,0.24247622513460082,0.0,0.8194521452569613,0.20512125087902439,0.2113894664228346,0.8116370219538217,0.13357366024372794,0.22654737811844555,0.3220866517637919,2.236287664858319,3.0,0.9227741540966181,0.8005657244684479,3.1240306238257687,12.447635629598041,0.0004376677963824349,6.170229816914663,3.4832246050569338,0.5182936705439005,0.6630908994473331,0.6630908994473331,0.7516413135015251,1.213362001158155,1.1133760776094555,1.1133760776094555,1.0779132457220388,0.1314167238675932,0.754019696185395,0.754019696185395,0.18452073643406702,0.20181993114909802,0.6773994641665023,1536523.7353933991,1162516.5494882974,1162516.5494882974,903802.1441873839,1544904.0,1448112.3959537696,1448112.3959537696,916399.1813112426,518.7177067911673,510.54478368668686,511.0182266432192,504.67365002082244,518.9030382827617,517.2208943476869,517.2208943476869,506.12064262498996
