epoch,validation_loss_s,validation_loss_T,validation_loss_p,validation_loss_c2
126.0,5.303072701133089e-06,2.0042918679572953e-06,1.301463601639407e-07,1.3454559181928387e-05
127.0,5.283043683428383e-06,1.979227923097523e-06,1.2850418961188148e-07,1.3239755314094945e-05
128.0,5.263804130786679e-06,1.9542461780628366e-06,1.2662568419094357e-07,1.301043843961081e-05
129.0,5.2452084562573815e-06,1.928908757627244e-06,1.2458822752065692e-07,1.2765891304464339e-05
130.0,5.227142078874492e-06,1.9027699532363616e-06,1.225472658047228e-07,1.2508494492740616e-05
131.0,5.209511244055387e-06,1.8758071915208904e-06,1.2061315864989142e-07,1.2244788713356136e-05
132.0,5.192205148204778e-06,1.8487201895065651e-06,1.1885691198927978e-07,1.1984598965058715e-05
133.0,5.174955672221999e-06,1.8227436230392194e-06,1.1740525641880113e-07,1.1737215633497694e-05
134.0,5.157413255929524e-06,1.7991878554835662e-06,1.1620327198931822e-07,1.1506566634370767e-05
135.0,5.139722186172174e-06,1.7781011561564118e-06,1.1527906505019388e-07,1.129452087708956e-05
136.0,5.1215690820521074e-06,1.7592138675774228e-06,1.1476122614831002e-07,1.1099449808179317e-05
137.0,5.103051380042683e-06,1.7420743245254559e-06,1.146712346826952e-07,1.0918553739886802e-05
138.0,5.084287104393725e-06,1.7258883720453913e-06,1.1495672261718467e-07,1.0749815235420396e-05
139.0,5.065548826535128e-06,1.7095573598037876e-06,1.1573812487222384e-07,1.0593969220835597e-05
140.0,5.046805132748532e-06,1.693652912463789e-06,1.1652113214397369e-07,1.0448054595300754e-05
141.0,5.0276129920110145e-06,1.6798673667983177e-06,1.1640233691120174e-07,1.0306056177940911e-05
142.0,5.008050403853996e-06,1.668752759517044e-06,1.1494739444533209e-07,1.0165928483479471e-05
143.0,4.989063844815542e-06,1.6547801275522374e-06,1.1373119364901262e-07,1.0041669886282336e-05
144.0,4.9729524397198345e-06,1.6399325097409563e-06,1.1500068322817874e-07,9.928682151368141e-06
145.0,4.9553336718942945e-06,1.6277936292066068e-06,1.1439002425577784e-07,9.810479999008044e-06
146.0,4.939134487784597e-06,1.6176926116783488e-06,1.1385002849262565e-07,9.690672740891047e-06
147.0,4.92405210869539e-06,1.6042611777945981e-06,1.15022378324943e-07,9.584946355730107e-06
148.0,4.9106615376226115e-06,1.58883970890303e-06,1.1691030739950897e-07,9.492007314874965e-06
149.0,4.8970226836399835e-06,1.5748910386587734e-06,1.1800964004052153e-07,9.400234683007785e-06
150.0,4.884080893529597e-06,1.562096412996383e-06,1.1912687934952332e-07,9.311123788629916e-06
151.0,4.87218042785362e-06,1.5498467744092198e-06,1.2074089536700135e-07,9.226153713805755e-06
152.0,4.861265295095814e-06,1.5380906294033848e-06,1.2285017184010896e-07,9.14534894853118e-06
153.0,4.850951414215319e-06,1.5268671510146815e-06,1.251435485911885e-07,9.067597723925398e-06
154.0,4.840978883776772e-06,1.5160287613031173e-06,1.2737445598146104e-07,8.992367024512307e-06
